[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ route_check ] --START--
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ app_begin ] --START--
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | SQL: SHOW COLUMNS FROM `t_product` [ RunTime:0.003000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | SQL: SHOW COLUMNS FROM `t_place` [ RunTime:0.002000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | SQL: DELETE FROM `t_place` WHERE id = '8' [ RunTime:0.058003s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_template ] --START--
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_parse ] --START--
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:32:43+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
