[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ route_check ] --START--
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ app_begin ] --START--
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | SQL: SHOW COLUMNS FROM `t_information` [ RunTime:0.003000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | SQL: SELECT t_product.company_id,t_information.id,t_information.type,t_information.key,t_information.value,t_product.company_id,t_product.generate_by,t_product.generate_time FROM `t_information` LEFT JOIN t_product ON t_information.product_id = t_product.id WHERE t_information.status = 1 AND t_information.id = 31   [ RunTime:0.002001s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ view_template ] --START--
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | INFO: Tag[ view_parse ] --START--
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T13:46:01+08:00 ] /getwhere3.0/index.php/InformationHistory | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
